==== RESULTATS DE L'ANALYSE ==== 
 python               apparet 4 fois 
 data                 apparet 2 fois 
 est                  apparet 1 fois 
 language             apparet 1 fois 
 genniale             apparet 1 fois 
 science.             apparet 1 fois 
 permet               apparet 1 fois 
 manipu;er            apparet 1 fois 
 donnees              apparet 1 fois 
 facilement.          apparet 1 fois 
 science              apparet 1 fois 
 utilise              apparet 1 fois 
 massivement.         apparet 1 fois 
 l'intellingence      apparet 1 fois 
 artificielle         apparet 1 fois 
 prefere              apparet 1 fois 
 aussi                apparet 1 fois 
